	1713
laughed	1
laughes	2
laughing	6
laughs	2
laught	4
laughter	12
lauish	1
laun	3
launce	1
launcelet	15
lauolta's	1
laur	4
laura	1
laurence	17
laurence's	5
lave	1
law	90
law's	1
law-dayes	1
lawes	6
lawful	13
lawfull	4
lawfully	1
lawless	3
lawn	1
lawne	1
laws	43
lawyer	2
lawyer's	1
lawyers	2
lay	109
lay'd	2
lay't	1
lay-to	1
layd	3
layer	1
layes	2
layest	2
laying	6
lays	15
layt	1
lazar	1
lazar-like	1
lazars	1
lazie	2
lazy	3
lazy-pacing	1
le	75
leacherie	1
lead	56
leade	19
leaden	8
leader	1
leaders	1
leades	2
leadest	1
leading	6
leads	10
leaf	1
leafe	4
league	9
leagues	8
leah	1
leak	1
leaky	1
lean	9
leander	2
leane	4
leanes	1
leans	2
leap	7
leap'd	2
leape	4
leape-frogge	1
leapes	1
leaping	1
leaps	3
leapt	2
leap’d	1
lear	230
lear's	4
learn	32
learn'd	12
learne	14
learned	21
learned's	1
learnedly	1
learning	13
learns	1
learnt	2
leas	2
lease	5
leases	2
leasht	1
leasing	1
least	66
leather	4
leathern	3
leaue	116
leaue't	1
leaue-taking	2
leaues	3
leauing	5
leauy	2
leave	144
leave-taking	1
leaves	21
leaving	7
lecher	1
lecher's	1
lecherie	2
lecherous	2
lechers	1
lechery	3
lecon	1
lecture	4
lectures	2
led	28
leda's	1
leeke	13
leekes	5
leer	1
lees	1
leese	1
leet	1
leetes	1
left	103
leg	11
leg'd	1
legacie	1
legacies	1
legacy	1
legal	10
legally	5
legeritie	1
leges	1
legge	4
legged	1
legges	7
legion	2
legions	8
legitimate	6
legs	30
leicester	2
leir	1
leisure	28
leisurely	1
leman	1
len	5
lena	2
lend	39
lender	1
lender's	1
lending	1
lendings	1
lends	10
length	13
length'ned	1
lengthen'd	1
lengthens	3
lengths	1
lenitie	1
lenity	1
lenox	28
lent	9
lenten	3
leo	26
leon	77
leona	1
leonardo	1
leonato	56
leonatoes	6
lep	3
leperous	1
lepidus	8
les	11
less	59
less'ned	1
lesse	31
lessen	1
lessen'd	1
lesser	9
lesson	3
lesson'd	1
lessoned	1
lessons	2
lest	50
lestrale	2
let	883
let's	84
let't	1
let-alone	1
lethargie	1
lethargied	1
lethargy	1
lethe	3
lethee	1
lets	9
letter	102
letter's	1
letters	45
lettice	1
letting	3
let’s	10
let’st	1
leue	1
leuell	1
leuelld	1
leuels	1
leuen	1
leuiathan	2
leuie	1
leuitie	1
leur	1
leuye	1
leuyed	1
leuying	1
level	9
levied	3
levies	2
levy	1
lewd	5
lewde	1
lewdness	1
lewes	4
leysure	6
leysures	1
li	1
liability	15
liable	6
liar	3
liars	3
libels	1
liberal	6
liberality	1
liberall	9
liberte	1
libertie	3
liberties	1
libertine	3
libertines	1
liberty	31
libraries	1
library	32
licence	1
license	74
licensed	5
licentious	1
licio	9
lick	6
lid	1
lids	2
lie	120
lied	3
lief	6
liefe	2
liege	44
liegemen	1
lies	95
liest	21
lieu	14
lieutenant	40
lieutenantrie	1
lieutenants	1
lieve	1
liew	1
life	342
life's	5
life-rendering	1
life-weary	1
life.'--nay	1
lifeless	1
lifelings	1
lifes	1
lift	4
lifted	2
lifting	1
lifts	2
ligarius	9
ligge	1
light	139
light's	1
light-foot	1
light:--away	1
lighted	7
lighten	1
lightens	2
lighter	3
lightest	2
lightly	5
lightness	3
lightning	16
lightnings	3
lights	12
lii	1
liii	1
lik'd	4
lik'st	3
like	701
like'd	1
like:--it	1
liked	1
likelihood	7
likely	8
likely-hoods	1
likelyhood	1
likenes	2
likeness	7
likenesse	4
liker	1
likes	15
likest	1
likewise	8
liking	13
likings	1
liklyhood	1
likt	1
lilied	1
lilies	1
lilly	2
lilly-liuer'd	1
lily	1
lily's	1
lily-liver'd	1
limander	1
limb	1
limbe	2
limbecks	1
limbes	5
limbs	10
lime	4
lime-grove	1
limed	2
limit	8
limitation	16
limited	25
limits	3
limitted	1
limn'd	1
limp	1
limp'd	1
limpe	2
limping	2
lin'd	4
line	29
line-grove	2
line;--let	1
lineal	2
lineall	1
lineament	2
lineaments	4
linen	2
linens	1
lines	19
ling	1
lingare	1
linger	4
lingering	1
lingers	1
lingred	1
lingring	1
link	1
link'd	1
linke	1
linked	5
linkes	1
links	15
linnen	2
lion	20
lion's	2
lioness	4
lionnesse	1
lions	7
lip	12
lippe	1
lippes	14
lips	56
lipsbury	1
liquid	6
liquor	11
liquors	1
lis	7
lisander	1
lisbon	1
lisp	2
lisping	1
list	25
list'ning	1
list-me	1
listed	1
listen	5
listning	1
lists	2
literary	65
literatured	1
litle	2
litter	2
litter'd	1
little	206
littlest	1
liu'd	12
liu'st	1
liue	90
liue-long	2
liued	2
liuelesse	1
liuer	3
liuerie	3
liueries	2
liues	33
liuing	17
liuings	1
liuories	1
liv	1
liv'd	11
liv'st	3
live	153
live,--such	1
live-true	1
lived	6
livelihood	1
lively	6
liver	8
livery	7
lives	61
lives-think	1
livest	2
livia	1
living	35
lix	1
lixir	1
lizards	1
lo	27
load	7
loade	1
loaded	1
loaden	1
loades	1
loading	1
loads	1
loadstarres	1
loam	2
loame	1
loan	3
loath	13
loath'd	1
loathe	1
loathed	7
loathes	1
loathing	2
loathly	2
loathness	1
loaths	1
loathsome	7
lob	2
lobby	2
locall	1
located	20
locations	10
lock	4
lock'd	5
locke	4
lockes	3
locks	7
lockt	1
locusts	1
lod	28
lodg'd	7
lodge	7
lodged	1
lodgers	2
lodges	4
lodging	20
lodo	4
lodoui	1
lodouico	9
loe	6
loffe	1
loftie	2
lofty	5
log	2
log-man	1
logger-headed	1
loggerhead	1
loggets	1
logic	1
logs	6
loines	2
loins	5
lolling	2
lolls	1
lombardy	1
lome	1
london	29
loneliness.--we	1
long	206
long-experienc'd	1
long-ingraffed	1
long-lane	1
long-liv'd	1
long-usurped	1
long-vanisht	1
long:--but	1
longed	1
longer	52
longer,--married	1
longeth	2
longing	3
longly	1
longs	6
loo	2
look	228
look'd	35
look'st	4
look't	1
looke	187
looked	7
looker-on	1
lookes	33
looking	14
looking-glass	2
looks	68
lookt	6
look’d	1
loone	1
loop'd	1
loope	1
loos'd	1
loose	45
loose't	1
loose-bodied	2
loosed	2
loosen	1
looser	1
loosers	1
looses	1
loosest	1
loosing	3
lor	30
loraine	2
lord	1105
lord's	7
lorded	2
lordly	1
lords	91
lordship	36
lordship's	1
loren	16
lorens	1
lorenso	4
lorenzo	27
los	1
lose	52
loser	1
loses	3
losest	2
losing	4
loss	36
losse	9
losses	12
lost	103
lot	6
loth	2
lotterie	1
lottery	1
lottrie	1
lou'd	36
lou'st	3
loud	20
louder	3
loudly	1
loue	424
loue-shaft	1
loue-suit	1
loue-tokens	1
loued	9
loued'st	2
louegods	1
louelie	1
louelinesse	1
louely	12
louer	15
louers	29
loues	55
louest	4
louing	17
louise	1
lour	1
lour'd	1
lour'st	1
louse	1
lov'd	36
lov'st	12
love	744
love's	47
love-bed	1
love-broker	1
love-cause	1
love-devouring	1
love-god	1
love-kindling	1
love-performing	1
love-prate	1
love-shak'd	1
love-song	3
love-suit	1
love-thoughts	1
love.--how	1
loved	12
lovel	11
lovelier	1
loveliness	1
lovely	16
lover	21
lover's	3
lovers	20
loves	45
lovest	2
loveth	2
love’s	1
loving	40
loving-jealous	1
lovingly	1
low	42
low'r	1
low'ring	1
low-crooked-curtsies	1
low-rated	1
lowd	3
lowder	1
lowe	2
lower	11
lowest	3
lowing	1
lowlinesse	2
lowly	5
lowlynesse	1
lowne	1
lowness	1
lowsie	4
loyal	6
loyall	4
loyaltie	1
loyalty	6
loys	1
lubber	1
lubber's	1
luc	29
luccicos	1
lucentio	126
lucentio's	5
lucianus	2
lucifer	1
lucil	6
lucillius	14
lucio	1
lucius	26
luck	4
lucke	6
luckie	1
luckier	1
lucrece	3
lucretia's	1
lucy	2
ludlow	3
lug	1
luggage	4
luke's	2
lul'd	1
lulla	4
lullaby	5
lump	1
lunacies	1
lunacy	4
lunatic	7
lunaticke	1
lungs	7
lupercall	2
lure	2
lurk	4
lurk'd	1
lurke	1
lurketh	1
lurking	1
luscious	1
lush	1
lushious	1
lust	18
lust-dieted	1
lust-stain'd	1
lusted	1
luster	1
lustful	1
lustie	2
lustier	1
lustihood	1
lustily	1
lustre	2
lustrous	1
lusts	3
lusty	16
lute	8
lute-case	1
lute-string	1
lutes	1
luxurie	1
luxurious	3
luxury	3
lv	1
lvi	1
lvii	1
lviii	1
lx	1
lxi	1
lxii	1
lxiii	1
lxiv	1
lxix	1
lxv	1
lxvi	1
lxvii	1
lxviii	1
lxx	1
lxxi	1
lxxii	1
lxxiii	1
lxxiv	1
lxxix	1
lxxv	1
lxxvi	1
lxxvii	1
lxxviii	1
lxxx	1
lxxxi	1
lxxxii	1
lxxxiii	1
lxxxiv	1
lxxxix	1
lxxxv	1
lxxxvi	1
lxxxvii	1
lxxxviii	1
ly	2
ly'st	1
lyable	1
lyar	2
lyars	1
lychas	1
lye	56
lyes	19
lyest	2
lying	11
lying'st	1
lym	1
lymbeck	1
lyme	1
lyms	1
lyne	4
lynes	1
lyniaments	1
lynstock	1
lyon	22
lyon-gate	1
lyons	9
lys	45
lysa	1
lysan	1
lysander	44
lysanders	3
lyst	2
lyuers	1
m	10
m,--but	1
m,--malvolio	1
m,--why	1
m[aster	2
ma	6
ma[n	1
mab	3
mac	10
macb	137
macbeth	62
macbeths	4
macd	58
macdonwald	1
macduff	9
macduffe	18
macduffes	1
mace	1
macedon	5
machination	1
machinations	1
machine	30
mackmorrice	5
mad	121
mad'st	4
mad-brain	1
mad-brain'd	1
mad-cap	1
mad;'--but	1
madam	174
madam's	1
madam,--to	1
madame	17
madames	1
maddam	1
madde	1
madded	1
madding	1
made	321
madest	2
madly	6
madly-used	1
madman	14
madman's	3
madman:--'by	1
madmen	6
madmen's	1
madness	38
madness,--thoughts	1
madnesse	7
madonna	10
mads	1
maggot	1
maggots	2
magic	4
magician	4
magick	1
magicke	3
magistrate	1
magistrates	1
magnanimous	2
magnifico	1
magnificoes	2
mahu	2
maid	69
maid's	4
maide	7
maiden	21
maiden's	2
maiden-widowed	1
maidenhead	4
maidenheads	1
maidenhoods	1
maidenliest	1
maidenly	1
maidens	6
maides	5
maidhood	2
maids	16
maie	2
maiestee	2
maiesticall	2
maiesticke	1
maiestie	29
maiesties	7
maiesty	16
maim'd	1
maimed	1
main	22
main'd	1
main-course	1
maine	11
mainly	2
maintain	8
maintain'd	7
maintaine	5
maintaining	5
maintains	2
maintenance	1
maior	1
maison	1
maist	4
maister	20
maister's	1
maisters	5
maistership	1
majestic	1
majestical	3
majesties	2
majesty	44
major	1
mak'st	11
make	667
make's	1
makeless	1
maker	1
makers	1
makes	152
makest	3
maketh	1
making	46
makmorrice	2
mak’st	1
mal	25
maladies	2
malady	4
malapert	2
malc	15
malcolm	2
malcolme	13
malcolmes	1
malcome	1
male	1
maledictions	1
malefactions	1
malefactors	1
males	1
maleuolence	1
malice	14
malicious	4
malignancy	1
malignant	3
malitious	1
mall	2
mall's	1
mallecho	1
mallice	4
mallows	1
malmsey-butt	2
malone	16
malt	1
malt-horse	1
malvolio	123
malvolio's	4
malvolio?--he	1
mam'ring	1
mammet	1
man	852
man's	52
man-his	1
man-monster	1
man.--how	1
manacle	1
manage	8
manager	1
managing	2
manakin	1
mandate	3
mandragora	1
mandrakes	1
manent	2
manerly	1
manes	1
manet	9
mangle	2
mangled	7
mangling	1
manhood	12
manhoods	1
manie	4
manifest	4
manifestly	1
manifests	1
manifold	3
mankind	3
mankinde	1
manly	11
manna	1
mannage	1
manner	27
mannerly	2
manners	38
manners;--that	1
mannish	1
mans	30
mansion	6
mansonry	1
mantle	14
mantled	1
mantua	19
mantua's	1
manured	1
many	224
many's	2
many-colour’d	1
man’s	3
map	5
maps	2
mar	72
mar'd	1
marble	4
marble-breasted	1
marble-hearted	1
marcellus	12
march	42
march'd	1
march-chicke	1
marchants	1
marches	3
marching	9
marchpane	1
marcus	6
mare	1
marg	4
marga	1
margaret	67
margaret's	4
margarite	1
margent	3
margerie	2
margery	1
maria	87
maria's	1
marian	4
maried	1
marigold	1
marine	1
mariners	10
marjoram	2
mark	67
mark'd	7
marke	53
marked	14
markes	2
market	8
market-place	4
marketable	2
markets	2
marking	1
markman	1
marks	6
markt	4
marle	2
marmoset	1
marquesse	1
marquis	7
marr'd	5
marre	2
marres	2
marriage	59
marriage-blessing	1
marriage-vows	1
marriages	2
marrie	14
married	76
marries	1
marrow	1
marrowlesse	1
marry	171
marryed	2
marrying	4
marr’d	1
mars	5
mars's	1
marseilles	1
marsh	1
marshal	2
marshall	3
marshall'st	1
marsham	1
mars’s	1
mart	4
martext	8
martial	4
martino	1
martlet	1
martyr'd	1
maruaile	1
maruailous	1
maruell'st	1
maruellous	3
maruellously	2
marv'llous	1
marvel	12
marvellous	6
mary	11
mas	1
masculine	1
mase	1
masham	3
mask	3
mask'd	4
maske	6
masked	1
masker	1
maskers	7
maskes	2
masking	2
masks	1
mason	3
masonry	1
masons	1
masque	3
masques	1
masquing	1
mass	7
massacre	2
masse	4
massie	1
massy	2
mast	5
master	203
master's	23
master-peece	1
master:--get	1
masterdome	1
masterless	1
masterly	3
masters	61
master’s	2
mastiff	1
mastiffes	2
masts	1
match	31
match'd	7
matches	3
matcheth	1
matching	2
matcht	3
mate	3
mated	3
mater	1
material	2
materiall	1
mates	7
mathematics	3
matin	1
matron	1
matron's	1
matrons	1
matter	167
matter's	1
matters	10
mattock	3
mature	1
maturity	1
maugre	2
mauritania	1
mauvais	1
maves	1
maw	3
mawes	1
maximum	5
may	802
may'st	4
may't	2
may-ay	1
may-morne	1
may-pole	1
may-that	1
mayd	1
maydens	1
mayest	3
maylees	1
maym'd	1
mayor	26
mays	1
mayst	28
mayster	1
mazard	2
maze	3
mazed	1
mazes	1
me	3423
me's	1
me,--that	1
me,--with	1
me-thinkes	5
me-thinks	2
me-thought	6
me.--how	1
me.--softly!--m	1
me.--stay	1
me.--well	1
me:--o	2
me:--this	1
me:--we	1
me;--when	1
meacock	1
mead	1
meade	1
meades	1
meadows	1
meads	3
meager	1
meagre	1
meal	1
meale	1
meales	2
mean	74
mean'st	4
mean-apparell'd	1
meanders	1
meane	53
meaner	4
meanes	45
meanest	4
meaning	31
meanings	3
meanly	1
means	97
meant	21
meantime	10
meare-maide	1
measur'd	3
measure	44
measured	2
measurelesse	1
measures	6
measuring	2
meat	22
meate	6
meats	4
mechanicall	1
mechanicals	1
mechanicke	1
med'cine	1
med'cines	1
meddle	10
medea	1
mediators	1
medicinable	2
medicine	11
medicines	1
meditate	2
meditates	1
meditating	2
meditation	6
meditations	1
mediterranean	1
medium	25
medlar	3
medlars	1
medling	1
mee	74
meed	5
meeke	2
meekness	1
meere	9
meerely	2
meerly	2
meet	96
meet'st	2
meete	52
meeter	1
meetes	1
meetest	1
meeting	20
meetings	1
meetness	1
meets	1
meg	3
meiny	1
meisen	1
melan	5
melancholies	1
melancholly	3
melancholy	30
melieus	1
mellifluous	1
mellon	24
mellow	3
mellow'd	1
melodie	2
melodious	1
melody	1
melt	10
melted	6
melteth	2
melting	3
member	4
members	1
membership	24
memorable	4
memorial	1
memorials	1
memorie	3
memories	2
memorize	1
memory	30
men	356
men's	25
men-children	1
menace	3
menaces	1
mend	26
mended	6
mender	1
mending	2
mens	15
ment	5
menteth	2
mention	1
mentioned	1
menton	2
mer	62
mercatante	1
mercenaries	1
mercenary	1
merchandise	1
merchandiz'd	1
merchandize	5
merchant	14
merchant's	1
merchant-marring	1
merchantability	3
merchantibility	2
merchants	6
mercie	8
mercies	1
merciful	4
mercifull	7
mercifully	1
merciless	1
mercilesse	1
mercinarie	1
mercuries	1
mercury	4
mercutio	21
mercutio's	5
mercy	72
mere	12
merely	6
merest	1
merit	20
merited	2
merites	1
merits	4
merlin	1
mermaid-like	1
merrie	9
merrier	2
merriest	1
merrily	7
merriman	1
merriment	6
merriments	1
merrit	2
merry	60
meruaile	1
meruailous	1
mes	13
meschante	1
mesh	1
meshes	1
mess	28
messa	19
message	9
messages	2
messala	25
messaline	2
messen	2
messeng	1
messenger	65
messengers	14
messes	2
messina	10
met	64
met'st	1
metal	6
metals	1
metaphor	1
metaphysicall	1
metaphysics	1
metel	3
metellus	13
meteor	1
meteyard	1
methinkes	4
methinks	35
method	9
methods	6
methought	19
methoughts	3
metled	1
metre	6
metrical	1
mettall	3
mettell	4
mettle	13
mew	3
mew'd	6
mewed	1
mewling	1
mexico	2
mi	4
mice	2
michael	19
michaell	3
miching	1
mickle	2
mid	5
mid'st	1
mid-night	3
mid-way	1
midas	1
middle	10
middle-aged	5
midnight	16
midsommer	2
midst	3
midsummer	3
midway	1
midwife	2
mienne	1
might	214
might'st	2
might?--no	1
mightie	13
mightier	3
mightiest	3
mightilie	1
mightily	7
mightiness	1
mightinesse	2
mightst	13
mighty	39
mighty,--you	1
milan	24
milch	1
milch-kine	1
mild	9
milde	3
milder	1
mildews	1
mildness	4
mile	7
miles	8
milford	1
militarie	2
milk	5
milk'd	1
milk-liver'd	1
milk-sop	1
milke	6
milke-sops	1
milke-white	1
milkes	1
milky	2
mill-wheels	1
millaines	1
millanie	1
milldew'd	1
miller	1
milles	1
million	5
million'd	1
millions	5
mills	1
millstones	2
mimmick	1
mince	2
minces	1
mincing	1
mind	118
mind's	4
mind,--though	1
minde	54
minded	5
mindes	12
minding	2
minds	17
mine	485
mine's	2
mine,--an	1
mineral	1
minerall	1
minerals	1
minerva	1
mines	3
mingle	3
mingled	3
minikin	1
minim	1
minimo	1
minimus	1
mining	1
minion	7
minions	1
minist'red	2
minister	13
ministering	1
ministers	12
minister’d	1
ministry	1
minola	7
minority	1
minsing	1
minstrel	1
minstrels	4
mint	1
minute	16
minute's	1
minutely	1
minutes	8
minx	2
minxes	1
mio	1
mir	56
mir'd	1
mira	1
miracle	8
miracles	3
miraculous	2
miranda	12
mire	3
mirian	1
mirror	3
mirrors	2
mirth	21
miry	1
mis-become	1
mis-giues	1
mis-prizing	1
mis-shapen	2
mis-shap’d	1
misadventur'd	1
misadventure	2
misapplied	1
misbeleeuer	1
misbhav'd	1
miscall'd	1
miscaried	1
miscarried	5
miscarry	5
mischance	8
mischeefe	2
mischeefes	1
mischief	8
mischiefe	11
mischiefs	2
mischieuous	1
mischievous	1
misconster	1
misconsterd	1
misconstruction	1
misconstrued	1
misconstrues	1
miscreant	1
miscreate	1
misdeeds	1
misdemeanours	1
misdoubt	1
miser	3
miserable	15
miserecordie	1
miserie	2
miseries	6
misery	12
misfortune	4
misfortune's	1
misgiuing	1
misgives	1
misgouernment	1
misgraffed	1
misleade	1
misled	1
mislike	1
misplac'd	2
misplaced	1
mispris'd	1
misprised	2
misprision	4
miss	6
miss'd	2
misse	5
misses	1
misshapen	3
missheathed	1
missing	3
mission	20
mississippi	5
missiues	1
miss’t	1
mist	1
mist-like	1
mista'en	2
mistak'st	1
mistake	18
mistaken	4
mistaketh	1
mistaking	6
mistakings	1
mistempered	1
misterm'd	1
mistook	5
mistooke	3
mistres	1
mistress	102
mistress's	2
mistresse	21
mistresses	1
mistris	27
mistrust	11
mistrusted	1
mistrusting	1
misty	1
misus'd	2
misusde	1
misuse	3
misvse	1
mitigate	1
mitigation	1
mittigate	1
mittigation	1
mix'd	4
mixt	1
mixtfull	1
mixture	2
mixtures	1
mo	5
moan	10
moanes	1
moans	1
moath	1
mobled	3
mock	22
mock'd	5
mock'ries	1
mock'ry	3
mock'st	1
mockable	1
mocke	20
mocker	3
mockers	1
mockery	4
mockes	3
mocking	3
mockry	1
mocks	8
mockt	1
mock’d	1
mode	2
model	2
modell	2
moderate	3
moderately	1
modern	4
moderne	2
modest	22
modestie	9
modesties	2
modestly	2
modesty	18
modification	5
modified	5
modo	2
moe	9
moiety	5
moist	2
moisten'd	1
molded	1
mole	5
molest	2
mollestation	1
mollification	1
molten	1
molto	1
moment	16
momentarie	1
momentary	3
mon	33
monachum	1
monarch	7
monarch's	1
monarchie	1
monarchies	1
monarchs	4
monarchy	2
monarkes	1
monast'ry	1
monastery	1
monastic	1
monday	5
monde	2
mone	4
mones	1
moneth	2
moneths	1
money	70
moneyes	4
mong	2
mongrel	3
mongst	3
monie	2
monies	1
monkey	3
monkeyes	1
monkeys	3
monkie	2
monkies	1
monmouth	7
monmouthes	1
monopoly	1
monsieur	17
monster	54
monsters	8
monster’s	3
monstrous	30
mont	6
monta	1
montage	1
montague	31
montague's	2
montagues	5
montano	10
monte	1
month	16
monthly	2
months	18
montioy	4
monument	14
monumentall	1
monuments	4
mood	7
moode	3
moodes	1
moods	3
moody	6
moon	39
moon-calf	4
moon-calf’s	1
moone	41
moone-beames	1
moone-light	6
moone-shine	10
moonelight	1
moones	2
mooneshine	1
moonish	1
moonlight	1
moons	3
moonshine	2
moonshine's	1
moonshines	1
moon’s	1
moor	2
moore	61
moore's	1
moores	1
mooreships	1
moou'd	3
mooue	4
moouing	1
mop	1
mope	2
moping	1
mopping	1
mopps	1
mor	9
moral	5
moralize	3
morall	11
moraller	1
more	978
more-hauing	1
more:--the	1
moreouer	8
moreover	5
mores	1
morn	12
morne	6
morning	67
morning's	3
mornings	3
morocho	1
morochus	1
moroco	1
morris	1
morris-dance	1
morrocho	1
morrow	105
morrows	1
morsel	3
mort	1
mortal	28
mortal-staring	1
mortalitie	3
mortality	2
mortall	19
mortals	6
mortar	1
mortgag'd	1
morties	1
mortified	3
mortify'd	1
mortifying	2
mortis'd	1
morton	3
mose	1
moss'd	1
most	572
mote	1
moth	4
mother	150
mother!--but	1
mother's	20
mother-i	1
mother.--come	1
mothers	13
motion	30
motion's	1
motionlesse	1
motions	3
motiue	2
motiues	2
motive	6
motley	10
motley's	1
motley-minded	1
mots	5
mou'd	10
moue	14
moueables	1
moued	3
moues	3
mouing	4
mould	4
moulded	1
moulds	1
moult	1
mouncht	3
mounsier	2
mounsieuer	1
mounsieur	11
mount	10
mountain	9
mountaine	6
mountaine-squier	1
mountaineers	1
mountaines	3
mountains	7
mountanto	1
mountebank	1
mountebanks	1
mounted	4
mountferrat	1
mounting	2
mountioy	7
mounts	2
mourn	7
mourn'd	2
mourn'st	1
mourne	4
mourner	3
mourners	4
mournful	1
mournfull	1
mourning	10
mourns	1
mouse	10
mouse-hunt	1
mouse-trap	1
mouth	62
mouth-honor	1
mouthed	2
mouthes	9
mouths	8
mouz'd	1
mov'd	13
movables	2
move	32
moveable	2
moved	10
moves	6
moveth	1
moving	5
mow	3
mowing	2
mows	1
mowsing	1
moxon	1
moy	10
moyes	2
moys	1
moyst	1
moytie	2
mr	6
ms	24
mu	1
much	470
mud	2
mudded	2
muddied	1
muddy	5
muddy-mettled	1
muffle	1
muffled	1
muffler	1
muffling	1
mulberries	1
mulberry	1
mules	1
mulieres	1
multiple	2
multiplying	1
multitude	5
multitudes	1
multitudinous	1
mum	6
mumbling	2
mumme	1
mummey	2
mun	1
munch	1
munday	1
mungrels	1
mur	12
murd'red	3
murd'rer	1
murd'ring	1
murd'rous	8
murder	32
murder!--pray	1
murder'd	6
murdered	1
murderer	77
murderer-how	1
murderers	11
murdering	1
murderous	5
murders	3
murdred	2
murellus	2
murkiest	1
murky	1
murmur'd	1
murmur,--as	1
murmure	1
murmuring	2
murmur’st	1
murrain	1
murrellus	1
murrion	1
murth	9
murth'ring	1
murther	39
murther'd	5
murther's	1
murthered	1
murtherer	5
murtherers	4
murthering	1
murtherous	2
murthers	5
mus	22
muscadel	1
muscles	1
muse	24
muses	2
musgrave	3
mushrooms	1
music	64
music's	1
music,--which	1
music:--now	1
musical	1
musicall	3
musician	6
musician's	1
musicians	11
musick	9
musicke	43
musing	1
musique	7
musitian	3
musitians	1
muske	3
mussell	1
must	671
mustard	9
mustard-seede	2
mustardseed	2
mustardseede	1
muster	4
musters	2
musty	5
mutabilitie	1
mutabilities	1
mutations	1
mute	9
mutes	2
mutine	1
mutineer,--the	1
mutinie	1
mutinies	3
mutinous	1
mutiny	9
mutter	1
mutton	3
muttons	1
mutual	5
mutuall	2
my	5549
myne	1
mynes	5
myraculous	1
myrmidons	1
myself	159
myself,--lawful	1
myselfe	1
mysteries	1
mystery	4
n	1
naiads	1
nail	2
nailes	2
nails	8
naked	24
nakedness	1
nakednesse	2
nam'd	7
name	271
name's	7
named	8
namely	2
names	19
namest	1
naming	2
nap	3
napkin	8
napkins	3
naples	27
napping	1
naps	1
narines	1
narrow	9
narrow-mouth'd	1
narrow-prying	1
narrowly	2
nastie	1
nasty	1
nathaniel	6
nathaniel's	1
natifs	1
natio[n	1
nation	13
nations	5
natiue	11
natiuitie	1
natiuity	1
native	9
nativity	4
natural	24
naturall	8
naturally	1
nature	169
nature's	17
natures	22
naue	1
naught	20
naughtie	2
naughty	6
nauie	1
nauigation	1
nave	1
navy	2
nay	221
nayles	8
nayword	1
nazarite	1
nd	1
ne	4
ne'er	34
ne'er-changing	1
ne'er-cloying	1
ne're	14
neafe	1
neant	1
neantmons	1
neapolitan	2
neapolitans	1
near	59
near's	1
near-legg'd	1
neare	1
nearely	1
nearer	6
nearest	3
nearly	12
neas	1
neat	2
neat's	1
neats	2
neat’s-leather	1
necessarie	1
necessaries	5
necessarilie	1
necessarily	5
necessary	8
necessitie	5
necessities	3
necessity	9
necessity's	1
neck	25
necke	8
neckes	1
necks	1
ned	1
nedars	2
neece	13
need	66
need'st	3
neede	7
needed	3
needes	9
needful	7
needfull	1
needing	1
needle	3
needle-work	1
needles	2
needless	3
needly	1
needs	51
needy	4
neer'st	1
neere	41
neerely	2
neerer	3
neerest	3
neeze	1
negatives	1
neglect	12
neglected	6
neglecting	3
neglect’st	1
negligence	13
negotiate	2
negroes	1
neigh	5
neigh--no	1
neighbor	1
neighbors	2
neighbour	24
neighbour'd	3
neighbour's	2
neighbour-hood	1
neighbour-stained	1
neighbourhood	1
neighbourly	2
neighbours	9
neighing	4
neighs	1
neither	75
nel	1
nell	2
nemean	1
neopolitane	1
neopolitans	1
nephew	11
nephew's	2
nephewes	1
nephews	1
neptune	3
neptune's	2
neptunes	2
ner	32
nere	9
nerissa	2
nero	2
nerris	1
nerrissa	23
nerrissas	1
nerryssa	2
nerues	1
neruij	1
nerve	1
nerves	2
nest	11
nestor	1
net	5
nether	3
nether-lip	1
nether-stocks	1
nets	1
nettels	1
nettle	2
nettle-seed	1
nettles	2
network	5
neu'r	6
neuer	217
neutral	2
neutrall	1
never	227
never-resting	1
never-surfeited	1
new	128
new-appearing	2
new-born	2
new-borne-babe	1
new-built	1
new-christ'ned	1
new-delivered	1
new-dyed	1
new-fall'n	1
new-fangled	2
new-fir'd	1
new-fired	1
new-found	1
new-hatch'd	1
new-heal'd	1
new-made	2
new-married	1
new-planted	1
new-store	1
new-tuned	1
newby	5
newer	5
newes	37
newest	4
newly	10
news	82
news-cramm'd	1
newsletter	5
newt	1
newts	1
next	60
neyther	7
ne’er	4
nibbling	2
nice	12
nicely	5
nicholas	2
nick	6
nicke	1
nickname	2
nie	2
niece	25
niece's	1
nieces	1
niggard	5
niggarding	1
niggardly	2
nigh	3
night	456
night's	7
night-brawler	1
night-cape	1
night-cappes	1
night-gown	1
night-gowne	5
night-owl	1
night-rauen	1
night-rule	1
night-shrieke	1
night-swift	1
night-tapers	1
night-walking	1
night-wanderers	1
nighted	2
nightingale	7
nightingales	2
nightly	13
nightmare	1
nights	30
night’s	1
nill	2
nim	10
nimble	13
nimble-pinion'd	1
nimblenesse	1
nimbly	2
nimph	2
nimphs	1
nine	28
ninnies	3
ninny’s	1
ninth	1
ninus	2
niobe	1
nip	1
nipping	1
nipple	2
nit	1
no	1738
no-yes	1
noah	1
nob	1
nobilitie	2
nobility	3
nobis	1
noble	216
noble-ending-loue	1
nobleman	1
nobleness	2
noblenesse	1
